vatnLnr,area_km2,circum_km,avg_dep_m,max_dep_m,vol_Mm3,res_time_yr,regine,width_m,length_m,aspect_ratio,vassom,slp_min,slp_p25,slp_median,slp_p75,slp_max,slp_mean,slp_std,slp_count,dem_min,dem_p25,dem_median,dem_p75,dem_max,dem_mean,dem_std,dem_count,delta_elev
16403,1.45,8.81,9.0,23.0,12.376,0.084,012.CEB0,367.0794276533454,3772.04768802898,10.275835156829178,012,0.04562663659453392,6.594955563545227,11.305039405822754,15.351576328277588,35.17121505737305,11.732192035499477,6.992306872286688,1912,728.3757934570312,745.3570709228516,763.4332885742188,790.9411010742188,922.0787963867188,772.0836820083682,32.63355521717833,1912,43.707888551336964
32987,0.86,0.0,15.0,34.0,13.0,0.04703237,012.LC3,338.39405275479817,2534.6211742971554,7.490146926824844,012,0.5902801752090454,6.734923362731934,9.498454093933105,13.814146995544434,27.636138916015625,10.436865271450266,5.188471188332531,1317,586.2715454101562,625.4781494140625,641.1277465820312,659.97412109375,714.9386596679688,643.4722854973425,23.61124033924638,1317,57.200740087186205
33011,0.17,0.0,3.0,11.8,0.57,0.00206219,012.LC3,135.39198135118738,1503.2742515213395,11.103126171276434,012,0.8886116743087769,3.8983333706855774,5.48512077331543,8.108500242233276,17.566240310668945,6.2370008103390955,3.194127960422621,282,586.2715454101562,590.5216369628906,594.20263671875,599.003662109375,625.7724609375,595.4357269503546,6.771748081754546,282,9.164181540198342
33025,0.26,0.0,7.0,19.8,2.0,0.00723575,012.LC3,267.0620503279054,990.8894179912445,3.710334046992472,012,0.3332877457141876,5.731078386306763,8.358766555786133,11.040844202041626,23.5637264251709,8.79509162902832,4.507700651635406,512,565.0094604492188,572.9875640869141,585.2391967773438,599.8037109375,639.6888427734375,587.506103515625,15.979059937440255,512,22.49664306640625
33172,0.64,0.0,10.0,25.5,6.7,0.0,012.LA52,250.87984828866252,2531.7438115588575,10.091459432986548,012,0.030247146263718605,4.278517127037048,7.898468017578125,12.52484679222107,24.752899169921875,8.859525885193133,5.633137440941331,932,426.68682861328125,433.0775451660156,443.1038818359375,457.4637145996094,519.6906127929688,446.4932604613734,15.873333535669143,932,19.80643184809213
659,5.16,27.21,14.0,67.3,69.91,0.444,134.C1,364.2911515481255,14394.348259531129,39.51330741457642,134,0.0,5.418396711349487,9.52979850769043,15.00220537185669,54.265655517578125,11.126513965430862,7.629094232674042,4990,51.84833908081055,60.99138069152832,76.57119750976562,96.34111213684082,213.03671264648438,84.65288076152305,30.903472105323438,4990,32.804541680712504
663,4.3,19.79,22.0,69.0,95.952,0.228,135.C,469.12928168862345,8958.94176978735,19.09695710645002,135,0.0,7.559302806854248,14.943192481994629,23.03639030456543,55.47602081298828,15.95239789294987,10.63346533471707,5007,14.162010192871094,30.998854637145996,65.77101135253906,124.61932754516602,267.9943542480469,84.04885660075894,60.650303605834694,5007,69.88684640788784
667,3.0,15.63,55.0,78.8,163.882,0.519,135.3B,431.9771315700782,8041.534289731026,18.615648149018913,135,0.0,8.20754337310791,15.171441078186035,21.645747184753418,52.4964485168457,15.7301033004158,9.644404226183225,3367,83.30000305175781,97.19355392456055,122.56660461425781,173.8270492553711,333.94268798828125,140.10803385803385,51.489862786180566,3367,56.80803080627604
693,19.04,36.82,25.0,67.8,469.812,1.48,139.BD0,981.5841565115825,19521.144829953228,19.88738785202966,139,0.0,3.4200379848480225,5.901858329772949,8.71407699584961,27.82567024230957,6.48651241588928,3.978884648672036,19617,366.9095764160156,415.1376037597656,436.42529296875,465.9561462402344,601.5841064453125,446.0555640515879,39.444539611908844,19617,79.14598763557228
694,14.91,26.91,23.0,58.5,340.954,1.756,139.BE,1138.624154314387,13185.413153773188,11.580127739089352,139,0.0017334368312731385,4.28000807762146,6.725683689117432,9.604493141174316,27.82567024230957,7.250402265189007,4.00592656143795,18994,398.3999938964844,432.59423065185547,465.453369140625,505.5838394165039,621.1643676757812,472.6254080235864,46.312667100489264,18994,74.225414127102
696,99.0,0.0,87.0,222.0,8680.0,25.18055154,139.DC10,1605.5857256547351,62568.83577161997,38.96947685313114,139,0.0,5.392144203186035,9.05798625946045,13.768912315368652,64.38168334960938,10.29615001820253,6.918040983562622,85153,341.8838806152344,398.04022216796875,460.28741455078125,533.7717895507812,819.1902465820312,476.6475403097953,94.44327715610693,85153,134.76365969456094
698,40.03,69.37,28.0,84.0,1119.917,1.012,139.H11,943.0867755081272,41820.797991972315,44.3445916940566,139,0.0,3.5311440229415894,6.004851818084717,9.05310845375061,34.566162109375,6.683032178971735,4.405148096201046,32832,421.2079162597656,472.7427520751953,493.41326904296875,526.3297882080078,679.3483276367188,503.12152777777777,39.64521824700014,32832,81.91361151801215
703,5.86,12.95,10.0,17.0,56.601,0.069,139.AB1,873.741234207338,7121.288407140075,8.150340316261415,139,0.0011018526274710894,4.954270839691162,10.051475524902344,15.105910301208496,46.87808609008789,10.921204903096395,7.65946961853806,8849,7.3779296875,20.977441787719727,65.12519836425781,122.1673812866211,249.35830688476562,78.09540626059442,60.704704572048925,8849,70.71747657309442
704,6.62,16.31,28.0,41.0,183.581,0.25,139.AC1,910.8571991151925,7383.842838518545,8.106476894173111,139,0.0,5.143527984619141,10.769485473632812,16.43655776977539,49.91212463378906,11.61060064092052,8.247564780499033,9147,7.3779296875,26.60693359375,80.8017578125,138.2472152709961,305.78338623046875,95.30757352137313,74.74095222256003,9147,87.92964383387313
708,1.82,8.68,13.0,37.0,24.017,0.047,139.BC1,489.99938365355706,4050.7472922731413,8.26684160716645,139,0.012003236450254917,3.15246844291687,5.944992542266846,8.656094551086426,21.600543975830078,6.231920110975183,3.7588071605527626,2861,351.69403076171875,362.2509765625,375.66845703125,392.42987060546875,438.8241271972656,378.5483222649423,18.341763656054987,2861,26.85429150322358
709,2.75,9.87,12.0,37.7,31.832,0.066,139.BC3,614.720230207562,4426.835967528125,7.201383247194243,139,0.02854791283607483,2.7437078952789307,4.606142520904541,7.796854019165039,17.414440155029297,5.481300853606835,3.5420125251751116,3833,352.19268798828125,361.2958984375,371.80419921875,387.50537109375,472.10711669921875,378.58462692408034,23.254129608775003,3833,26.39193893579909
711,4.73,17.75,23.0,77.5,110.396,3.135,139.BDD,454.26520416186395,10099.833300824419,22.233341247122336,139,0.0,3.9264039993286133,6.3344831466674805,9.287636280059814,29.160104751586914,6.890878826094391,4.1726959377779025,4386,503.22216796875,516.0619049072266,526.359130859375,545.4165802001953,646.5203247070312,532.6177610579116,20.782319005772468,4386,29.395593089161594
40781,0.37,4.09,7.0,29.0,2.453,0.067,139.BDC,178.41596387597997,2379.311694299816,13.335755627527348,139,0.1351933777332306,3.25775408744812,5.97480583190918,9.01078176498413,15.931095123291016,6.472609049479167,3.7760230921389097,450,501.009765625,510.4164810180664,514.84326171875,524.2435760498047,546.9249877929688,517.7644444444444,9.534488631494295,450,16.754678819444393
41945,0.87,5.85,5.0,15.7,4.105,0.013,139.BC5,329.0313978785998,2740.1046681648736,8.327790860785477,139,0.012693137861788273,2.6554070711135864,5.929303169250488,8.084327936172485,19.422645568847656,5.94218487079327,3.8945518715099565,1300,352.76934814453125,363.0934143066406,369.4585876464844,383.3364715576172,446.7217712402344,374.6952403846154,15.573064776069856,1300,21.925892240084124
41946,0.97,4.96,11.0,26.7,10.352,0.03,139.BC5,465.3243870033755,2054.8344899940685,4.415918330064146,139,0.16987866163253784,2.879333019256592,5.2414445877075195,8.770581245422363,20.39888572692871,6.303601597488804,4.397396045536702,1563,352.20556640625,360.3352966308594,368.56170654296875,385.11927795410156,456.28057861328125,375.6784229046705,21.04150596093356,1563,23.472856498420526
723,44.4,0.0,154.0,464.0,6872.0,8.49812222,140.B1,804.9787738308078,55854.61816288898,69.38644841165542,140,0.0,7.532705903053284,14.250909805297852,22.82212734222412,65.90880584716797,16.297835750623687,11.240768277613231,40886,2.384082078933716,43.602904319763184,95.7789535522461,170.01726531982422,414.2886657714844,114.99963312625349,84.28194104281306,40886,112.61555104731977
737,13.45,38.51,10.0,26.9,140.973,0.694,124.EB0,805.6450558799297,20285.15966892023,25.17878006061202,124,0.0,3.487058401107788,6.285823822021484,9.634342193603516,34.67128372192383,7.1438135952515545,4.891444004620785,15921,487.6318359375,527.7431640625,545.4420776367188,579.6011962890625,798.64599609375,559.7831166384021,46.65455813998742,15921,72.15128070090213
745,21.6,0.0,32.0,70.5,700.0,0.57171189,156.CB1,838.137798132937,28241.46569237145,33.69549226306588,156,0.0,6.778251528739929,13.121578216552734,20.115397453308105,60.561607360839844,14.611992583052052,10.52751584701649,22516,43.53095626831055,72.40798377990723,139.94677734375,222.8245086669922,567.3358154296875,160.2646451412329,99.53878394272334,22516,116.73368887292236
