regine,wood_din_µg/l,wood_totn_µg/l,wood_tdp_µg/l,wood_totp_µg/l,wood_toc_mg/l,upland_din_µg/l,upland_totn_µg/l,upland_tdp_µg/l,upland_totp_µg/l,upland_toc_mg/l,wood_ton_µg/l,wood_tpp_µg/l,upland_ton_µg/l,upland_tpp_µg/l
002.114,84.5,480.9,1.5,10.4,20.1,67.7,305.7,1.9,7.9,10.0,396.4,8.9,238.0,6.0
002.1150,85.4,476.9,1.6,10.3,19.8,66.8,304.6,1.9,7.8,10.0,391.5,8.700000000000001,237.8,5.9
002.115Z,85.9,473.7,1.7,10.3,19.5,65.6,303.1,1.9,7.8,10.0,387.79999999999995,8.600000000000001,237.50000000000003,5.9
002.1161,86.1,477.4,1.6,10.2,19.8,68.2,306.3,1.9,7.8,10.0,391.29999999999995,8.6,238.10000000000002,5.9
002.1162,86.3,475.6,1.6,10.2,19.6,67.6,305.6,1.9,7.8,10.0,389.3,8.6,238.00000000000003,5.9
002.1163,86.7,474.6,1.6,10.2,19.5,67.7,305.7,1.9,7.8,10.0,387.90000000000003,8.6,238.0,5.9
002.116Z,86.3,475.0,1.6,10.2,19.6,67.2,305.0,1.9,7.8,10.0,388.7,8.6,237.8,5.9
002.1170,87.3,473.4,1.6,10.1,19.4,67.9,305.9,1.9,7.7,10.0,386.09999999999997,8.5,237.99999999999997,5.800000000000001
002.117Z,86.6,473.7,1.6,10.2,19.5,66.9,304.7,1.9,7.8,10.0,387.1,8.6,237.79999999999998,5.9
002.1180,87.1,472.4,1.6,10.2,19.4,67.0,304.8,1.9,7.7,10.0,385.29999999999995,8.6,237.8,5.800000000000001
002.118Z,86.3,473.6,1.6,10.3,19.5,66.4,304.1,1.9,7.8,10.0,387.3,8.700000000000001,237.70000000000002,5.9
002.1190,87.4,472.0,1.6,10.1,19.3,67.4,305.2,1.9,7.7,10.0,384.6,8.5,237.79999999999998,5.800000000000001
002.119Z,86.7,472.4,1.7,10.2,19.4,66.3,303.9,1.9,7.7,10.0,385.7,8.5,237.59999999999997,5.800000000000001
002.11Z,83.4,480.5,1.6,10.5,20.1,65.8,303.3,1.9,7.9,10.0,397.1,8.9,237.5,6.0
002.12,87.4,470.8,1.7,10.2,19.3,66.6,304.3,1.9,7.7,10.0,383.4,8.5,237.70000000000002,5.800000000000001
