regine,trans_totp,trans_tdp,trans_tpp,trans_totn,trans_din,trans_ton,trans_ss,trans_toc,ret_totp,ret_tdp,ret_tpp,ret_totn,ret_din,ret_ton,ret_ss,ret_toc
001.FC12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.FC1A,0.853202,0.920787,0.743986,0.96054,0.94807,0.987381,0.272904,0.872002,0.146798,0.079213,0.256014,0.03946,0.05193,0.012619,0.727096,0.127998
001.FC1B,0.396539,0.567889,0.247302,0.546573,0.474809,0.794854,0.004775,0.543614,0.603461,0.432111,0.752698,0.453427,0.525191,0.205146,0.995225,0.456386
001.FC1C,0.649448,0.787473,0.480875,0.807439,0.758738,0.93093,0.036735,0.731867,0.350552,0.212527,0.519125,0.192561,0.241262,0.06907,0.963265,0.268133
001.FC2,0.312877,0.476628,0.18545,0.460549,0.390356,0.732917,0.002298,0.4704,0.687123,0.523372,0.81455,0.539451,0.609644,0.267083,0.997702,0.5296
001.FD,0.179491,0.40632,0.042062,0.726905,0.656165,0.903717,7e-06,0.217564,0.820509,0.59368,0.957938,0.273095,0.343835,0.096283,0.999993,0.782436
001.G0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.GA0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.GAA,0.955179,0.977076,0.914204,0.996247,0.995002,0.998829,0.834609,0.95065,0.044821,0.022924,0.085796,0.003753,0.004998,0.001171,0.165391,0.04935
001.GAB,0.448415,0.634152,0.265591,0.601225,0.528655,0.831349,0.003753,0.561769,0.551585,0.365848,0.734409,0.398775,0.471345,0.168651,0.996247,0.438231
001.GB,0.869428,0.930154,0.769016,0.970765,0.961396,0.990718,0.330043,0.88366,0.130572,0.069846,0.230984,0.029235,0.038604,0.009282,0.669957,0.11634
001.GC,0.343161,0.510975,0.207118,0.434936,0.365999,0.712154,0.003024,0.497858,0.656839,0.489025,0.792882,0.565064,0.634001,0.287846,0.996976,0.502142
001.GD,0.853686,0.921068,0.744722,0.951493,0.936354,0.984387,0.274443,0.872347,0.146314,0.078932,0.255278,0.048507,0.063646,0.015613,0.725557,0.127653
001.H1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
