N°,Reference,Name,Type,Period,Location,z,tau,RTN,RDIN,LTN,LDIN,LDIN/LTN,CTP,TN/TP,rho,LDON,LTN_out,LDIN_out,LDON_out,RDON
28,Kronvang et al. 2001,Ravn,Lake,"unknown,10 years",Denmark,15.0,2.3,0.53,,70.0,,,34.0,,0.4347826086956522,,32.9,,,
29,Kronvang et al. 2001,Søholm,Lake,"unknown,10 years",Denmark,6.5,1.8,0.55,,33.0,,,78.0,52.0,0.5555555555555556,,14.849999999999998,,,
30,Kronvang et al. 2001,Tissø,Lake,"unknown,10 years",Denmark,8.2,1.1,0.65,,82.0,,,110.0,34.0,0.9090909090909091,,28.7,,,
31,Kronvang et al. 2001,Tystrup,Lake,"unknown,11-13 years",Denmark,9.9,0.6,0.37,,237.0,,,250.0,33.0,1.6666666666666667,,149.31,,,
32,Kronvang et al. 2001,Veluwemeer,Lake,"unknown,11-13 years",The Netherlands,1.3,0.1,0.52,,46.0,,,401.0,6.0,10.0,,22.08,,,
33,Kronvang et al. 2001,Woldewijd,Lake,"unknown,11-13 years",The Netherlands,1.5,0.3,0.37,,18.0,,,145.0,17.0,3.3333333333333335,,11.34,,,
34,Kvarnäs 2001,Mälaran,Lake,"unknown('70-'90),20 years",Sweden,12.8,2.6,0.56,,,,,37.0,17.0,0.3846153846153846,,,,,
35,Likens and Loucks 1978,Findley,Lake,1975,USA,7.8,0.1,0.25,,7.0,,,2.0,39.0,10.0,,5.25,,,
36,Likens and Loucks 1978,Mirror,Lake,1970-1975,USA,5.7,1.0,0.3,,2.0,,,2.0,65.0,1.0,,1.4,,,
37,Likens and Loucks 1978,Wingra,Lake,1970-1974,USA,2.4,0.5,0.81,,24.0,,,24.0,36.0,2.0,,4.559999999999999,,,
38,Malueg et al. 1975,Shagawa,Lake,1967-1972,USA,5.7,0.6,-0.03,,8.0,,,57.0,15.0,1.6666666666666667,,8.24,,,
39,Nizzoli et al. 2018,Idro,Lake,2010-2012,Italy,77.1,0.4,0.31,,79.0,,,110.0,9.0,2.5,,54.51,,,
40,Ojanen 1979,Tuusulanjärvi,Lake,1974-1977,Finland,3.1,0.6,0.48,,22.0,,,105.0,22.0,1.6666666666666667,,11.440000000000001,,,
41,Persson 2003,Aspen,Lake,1981-1990,Sweden,16.6,0.1,-0.01,,128.0,,,10.0,96.0,10.0,,129.28,,,
42,Persson 2003,Åsunden,Lake,1989-1991,Sweden,15.0,1.2,0.19,,18.0,,,20.0,57.0,0.8333333333333334,,14.580000000000002,,,
43,Persson 2003,Åsunden + Yttre Ås.,Lake,1989-1991,Sweden,11.9,1.2,0.29,,14.0,,,18.0,54.0,0.8333333333333334,,9.94,,,
44,Persson 2003,Bolmen,Lake,1980-1984,Sweden,5.0,1.0,0.6,,24.0,,,14.0,37.0,1.0,,9.600000000000001,,,
45,Persson 2003,Boren 1,Lake,1973,Sweden,6.0,0.2,0.36,,23.0,,,26.0,17.0,5.0,,14.72,,,
46,Persson 2003,Boren 2,Lake,1976,Sweden,6.0,0.4,0.59,,18.0,,,15.0,29.0,2.5,,7.380000000000001,,,
47,Persson 2003,Botjärn,Lake,1972-1973,Sweden,3.3,0.3,0.58,,4.0,,,14.0,30.0,3.3333333333333335,,1.6800000000000002,,,
48,Persson 2003,Brunnsjön,Lake,"1989-1990,1993-1994",Sweden,2.3,2.4,0.29,,24.0,,,124.0,13.0,0.4166666666666667,,17.04,,,
49,Persson 2003,Edssjön,Lake,1972,Sweden,3.0,0.1,0.12,,30.0,,,300.0,9.0,10.0,,26.4,,,
50,Persson 2003,Erken,Lake,1984,Sweden,9.0,6.3,0.44,,2.0,,,18.0,43.0,0.15873015873015872,,1.12,,,
51,Persson 2003,Fegen,Lake,1974,Sweden,7.5,1.8,0.44,,3.0,,,14.0,30.0,0.5555555555555556,,1.6800000000000002,,,
52,Persson 2003,Finjasjön,Lake,1976-1978,Sweden,3.8,0.4,0.46,,33.0,,,170.0,12.0,2.5,,17.82,,,
53,Persson 2003,Finjasjön 1,Lake,1976-1977,Sweden,3.8,0.4,0.44,,31.0,,,200.0,11.0,2.5,,17.360000000000003,,,
54,Persson 2003,Finjasjön 2,Lake,1978,Sweden,3.8,0.4,0.5,,37.0,,,219.0,9.0,2.5,,18.5,,,
55,Persson 2003,Finjasjön 3,Lake,1988-1990,Sweden,3.8,0.4,0.49,,45.0,,,210.0,8.0,2.5,,22.95,,,
56,Persson 2003,Gåran,Lake,1988,Sweden,1.5,0.02,0.12,,67.0,,,40.0,20.0,50.0,,58.96,,,
57,Persson 2003,Glan,Lake,1985-1989,Sweden,9.9,0.3,0.11,,47.0,,,45.0,14.0,3.3333333333333335,,41.83,,,
58,Persson 2003,Glaningen,Lake,1974,Sweden,1.5,0.1,0.39,,40.0,,,600.0,3.0,10.0,,24.4,,,
